F:\env\Python37\python.exe F:/machinelearning/vision/need-for-auto-speed/percept/speed-estimate/speedmeter_estimate.py
2020-06-21 23:33:05,341 INFO 76 using device: cuda
2020-06-21 23:33:06,916 INFO 79 dataset init finished with size: 139
2020-06-21 23:33:30,102 INFO 92 epoch 27, batch 1, MAELoss = 0.7093439102172852 (label: [136, 43, 69, 39], predict: [127, 742, 963, 135])
2020-06-21 23:33:30,822 INFO 92 epoch 28, batch 0, MAELoss = 0.7139427065849304 (label: [94, 132, 235, 167], predict: [374, 463, 235, 447])
2020-06-21 23:33:30,900 INFO 92 epoch 28, batch 1, MAELoss = 0.7180154323577881 (label: [142, 49, 205, 0], predict: [242, 574, 857, 600])
2020-06-21 23:33:31,608 INFO 92 epoch 29, batch 0, MAELoss = 0.7101652026176453 (label: [110, 114, 156, 96], predict: [612, 472, 156, 612])
2020-06-21 23:33:31,684 INFO 92 epoch 29, batch 1, MAELoss = 0.7088768482208252 (label: [150, 118, 125, 221], predict: [935, 728, 689, 554])
2020-06-21 23:33:32,380 INFO 92 epoch 30, batch 0, MAELoss = 0.7067038416862488 (label: [96, 74, 168, 143], predict: [46, 370, 123, 853])
2020-06-21 23:33:32,455 INFO 92 epoch 30, batch 1, MAELoss = 0.709899365901947 (label: [126, 113, 145, 140], predict: [456, 853, 189, 226])
2020-06-21 23:33:33,173 INFO 92 epoch 31, batch 0, MAELoss = 0.7068845629692078 (label: [143, 129, 128, 71], predict: [154, 229, 612, 371])
2020-06-21 23:33:33,248 INFO 92 epoch 31, batch 1, MAELoss = 0.7338070273399353 (label: [157, 141, 163, 91], predict: [182, 447, 274, 98])
2020-06-21 23:33:33,943 INFO 92 epoch 32, batch 0, MAELoss = 0.7066553235054016 (label: [180, 182, 63, 71], predict: [549, 536, 555, 708])
2020-06-21 23:33:34,017 INFO 92 epoch 32, batch 1, MAELoss = 0.7178698182106018 (label: [141, 99, 145, 125], predict: [712, 467, 859, 998])
2020-06-21 23:33:34,712 INFO 92 epoch 33, batch 0, MAELoss = 0.7072836756706238 (label: [155, 86, 40, 124], predict: [125, 556, 364, 466])
2020-06-21 23:33:34,787 INFO 92 epoch 33, batch 1, MAELoss = 0.6898528337478638 (label: [120, 126, 93, 122], predict: [620, 646, 977, 569])
2020-06-21 23:33:35,480 INFO 92 epoch 34, batch 0, MAELoss = 0.7016476392745972 (label: [156, 141, 182, 96], predict: [282, 761, 282, 840])
2020-06-21 23:33:35,556 INFO 92 epoch 34, batch 1, MAELoss = 0.6941155195236206 (label: [122, 150, 163, 142], predict: [859, 588, 272, 449])
2020-06-21 23:33:36,257 INFO 92 epoch 35, batch 0, MAELoss = 0.6999178528785706 (label: [151, 124, 20, 206], predict: [612, 524, 390, 212])
2020-06-21 23:33:36,332 INFO 92 epoch 35, batch 1, MAELoss = 0.7211642861366272 (label: [100, 70, 0, 114], predict: [225, 864, 0, 242])
2020-06-21 23:33:37,030 INFO 92 epoch 36, batch 0, MAELoss = 0.7005990147590637 (label: [126, 151, 182, 152], predict: [535, 259, 926, 454])
2020-06-21 23:33:37,108 INFO 92 epoch 36, batch 1, MAELoss = 0.7138118743896484 (label: [0, 132, 213, 0], predict: [8, 482, 219, 0])
2020-06-21 23:33:37,823 INFO 92 epoch 37, batch 0, MAELoss = 0.69398432970047 (label: [0, 31, 167, 126], predict: [0, 64, 147, 452])
2020-06-21 23:33:37,907 INFO 92 epoch 37, batch 1, MAELoss = 0.7286664843559265 (label: [148, 155, 151, 96], predict: [844, 152, 151, 648])
2020-06-21 23:33:38,613 INFO 92 epoch 38, batch 0, MAELoss = 0.6952304840087891 (label: [86, 71, 180, 90], predict: [593, 8, 869, 798])
2020-06-21 23:33:38,689 INFO 92 epoch 38, batch 1, MAELoss = 0.7069272994995117 (label: [185, 120, 71, 126], predict: [590, 246, 74, 147])
2020-06-21 23:33:39,386 INFO 92 epoch 39, batch 0, MAELoss = 0.6919942498207092 (label: [116, 155, 91, 54], predict: [149, 285, 971, 489])
2020-06-21 23:33:39,461 INFO 92 epoch 39, batch 1, MAELoss = 0.6967180371284485 (label: [145, 235, 106, 49], predict: [447, 135, 136, 998])
2020-06-21 23:33:40,175 INFO 92 epoch 40, batch 0, MAELoss = 0.693001925945282 (label: [208, 137, 74, 150], predict: [535, 435, 71, 585])
2020-06-21 23:33:40,252 INFO 92 epoch 40, batch 1, MAELoss = 0.7423819899559021 (label: [86, 146, 106, 105], predict: [70, 215, 557, 711])
2020-06-21 23:33:40,999 INFO 92 epoch 41, batch 0, MAELoss = 0.687934935092926 (label: [31, 135, 145, 74], predict: [3, 161, 422, 790])
2020-06-21 23:33:41,076 INFO 92 epoch 41, batch 1, MAELoss = 0.6985824108123779 (label: [118, 156, 51, 206], predict: [183, 246, 0, 487])
2020-06-21 23:33:41,769 INFO 92 epoch 42, batch 0, MAELoss = 0.6899651885032654 (label: [93, 122, 119, 205], predict: [593, 539, 112, 559])
2020-06-21 23:33:41,844 INFO 92 epoch 42, batch 1, MAELoss = 0.6884966492652893 (label: [151, 31, 120, 96], predict: [151, 0, 520, 968])
2020-06-21 23:33:42,533 INFO 92 epoch 43, batch 0, MAELoss = 0.6868513822555542 (label: [38, 122, 125, 54], predict: [593, 535, 285, 997])
2020-06-21 23:33:42,607 INFO 92 epoch 43, batch 1, MAELoss = 0.6811622977256775 (label: [74, 40, 239, 0], predict: [770, 64, 147, 600])
2020-06-21 23:33:43,296 INFO 92 epoch 44, batch 0, MAELoss = 0.6842101812362671 (label: [182, 223, 185, 113], predict: [282, 229, 535, 553])
2020-06-21 23:33:43,367 INFO 92 epoch 44, batch 1, MAELoss = 0.6623006463050842 (label: [64, 153, 118, 31], predict: [64, 136, 889, 390])
2020-06-21 23:33:44,061 INFO 92 epoch 45, batch 0, MAELoss = 0.6854547262191772 (label: [119, 138, 143, 25], predict: [209, 538, 148, 300])
2020-06-21 23:33:44,140 INFO 92 epoch 45, batch 1, MAELoss = 0.6976985335350037 (label: [31, 148, 118, 114], predict: [991, 154, 988, 157])
2020-06-21 23:33:44,847 INFO 92 epoch 46, batch 0, MAELoss = 0.6782650351524353 (label: [119, 124, 110, 20], predict: [474, 122, 229, 990])
2020-06-21 23:33:44,921 INFO 92 epoch 46, batch 1, MAELoss = 0.6835063099861145 (label: [155, 0, 74, 182], predict: [555, 0, 991, 222])
2020-06-21 23:33:45,627 INFO 92 epoch 47, batch 0, MAELoss = 0.6817548274993896 (label: [137, 55, 93, 138], predict: [112, 94, 473, 435])
2020-06-21 23:33:45,702 INFO 92 epoch 47, batch 1, MAELoss = 0.6834930777549744 (label: [91, 105, 153, 132], predict: [998, 535, 135, 461])
2020-06-21 23:33:46,438 INFO 92 epoch 48, batch 0, MAELoss = 0.6755977272987366 (label: [96, 132, 221, 152], predict: [48, 129, 553, 112])
2020-06-21 23:33:46,515 INFO 92 epoch 48, batch 1, MAELoss = 0.6972084641456604 (label: [126, 145, 129, 0], predict: [142, 553, 425, 600])
2020-06-21 23:33:47,210 INFO 92 epoch 49, batch 0, MAELoss = 0.6800082921981812 (label: [150, 150, 71, 143], predict: [585, 535, 961, 554])
2020-06-21 23:33:47,288 INFO 92 epoch 49, batch 1, MAELoss = 0.6648076772689819 (label: [91, 135, 86, 113], predict: [741, 235, 586, 553])
2020-06-21 23:33:47,990 INFO 92 epoch 50, batch 0, MAELoss = 0.6764799952507019 (label: [105, 152, 156, 213], predict: [533, 154, 185, 242])
2020-06-21 23:33:48,069 INFO 92 epoch 50, batch 1, MAELoss = 0.6878483295440674 (label: [145, 67, 96, 114], predict: [823, 8, 289, 741])
2020-06-21 23:33:48,806 INFO 92 epoch 51, batch 0, MAELoss = 0.6700165271759033 (label: [85, 90, 124, 64], predict: [998, 66, 139, 861])
2020-06-21 23:33:48,882 INFO 92 epoch 51, batch 1, MAELoss = 0.6918907761573792 (label: [0, 20, 91, 160], predict: [600, 593, 61, 225])
2020-06-21 23:33:49,597 INFO 92 epoch 52, batch 0, MAELoss = 0.6691475510597229 (label: [64, 156, 135, 142], predict: [64, 485, 152, 144])
2020-06-21 23:33:49,671 INFO 92 epoch 52, batch 1, MAELoss = 0.6695683002471924 (label: [151, 141, 63, 90], predict: [182, 741, 553, 990])
2020-06-21 23:33:50,416 INFO 92 epoch 53, batch 0, MAELoss = 0.6703729629516602 (label: [40, 118, 166, 182], predict: [61, 147, 446, 585])
